Name;Schl;Descriptor;Level;Casting Time;Range;Effect Type;Effect;Duration;Saving Throw;Short Description
Geyser;Evoc;Water;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One ray;Instantaneous;Reflex partial;Creates a line of water that deals 1d6 nonlethal damage +1d6/2 additional levels.
Ghorus Toth's Magnetism;Tran;;6;1 standard action;Medium (100 ft. + 10 ft./level);Targets;One metallic creature or object;1 min./level (D);None;Metallic creature or object becomes strongly magnetic.
Ghost Sound;Illu;;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Illusory sounds;1 round/level (D);Will disbelief (if interacted with);Figment sounds.
Ghost Storm;Necr;Death;5;1 round;Medium (100 ft. + 10 ft./level);Area;30-ft.-radius spread;1 round/level;Fortitude partial;Save and become Frightened or fail and gain a temporary negative level, per round.  Levels return at the rate of 1 per minute.  More nastiness.
Ghost Touch Armor;Tran;Ectomancy;2;1 standard action;Touch;Target;Armor of creature touched;1 min./level;Will negates (harmless);Armor works normally against incorporeal attacks.
Ghost Trap;Abj;Ectomancy;7;1 standard action;Personal;Area;5 ft./level-radius emanation centered on you;1 min./level (D);;Incorporeal creatures turn corporeal.
Ghostform;Tran;;8;1 standard action;Personal;Target;You;1 round/level (D);;You become incorporeal.
Ghoul Gauntlet;Necr;Death, Evil;6;1 standard action;Touch;Target;One living humanoid creature;Instantaneous;Fortitude negates;Convert victim to a ghoul under your control.
Ghoul Glyph;Necr;;2;1 minute;Touch;Effect;One ghoul glyph that must fit within a 1-ft. square;Permanent until discharged;Fortitude partial;Glyph wards area, paralyzes victims.
Ghoul Touch;Necr;Negative;2;1 standard action;Touch;Target;Living humanoid touched;1d6+2 rounds;Fortitude negates;Paralyzes one subject, which exudes stench.
Giant's Wrath;Tran;;3;1 standard action;Personal;Effect;One pebble per 3 levels;1 round/level;None;Thrown pebble turns into boulder dealing 2d6 + 1/2 caster levels bludgeoning damage.  Base damage increases to 2d8 at 9th level, 2d8 + 2d6 fire at 13th, and critical becomes x3 at 17th.
Girallon's Blessing;Tran;;3;1 standard action;Touch;Target;Creature touched;10 min./level;Fortitude negates (harmless);Subject gains one additional pair of arms.
Glacial Globe of Invulnerability;Abj;Cold;3;1 standard action;10 ft.;Area;10-ft.-radius spherical emanation, centered on you;1 round/level (D);None;Stops 1st- through 3rd-level fire spell effects and provides concealment.
Glacial Ward;Abj;Cold;4;1 standard action;Touch;Target;Creature touched;1 min./level (D);None;Subject gains SR 18 against fire spells and effects.
Glass Strike;Tran;;6;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature or 4 cubic ft. of material;1 hour/level;Fortitude negates;Turns subject into glass.
Glimpse Of The Prophecy;Div;;6;1 standard action;Personal;Target;You;1 hour/level or until discharged;;Gain +1 insight bonus to AC and on saves
Glimpse of Truth;Div;Evil;3;1 standard action;Personal;Target;You;1 hour;;You get an answer to a yes-or-no question.
Glitterdust;Conj;;2;1 standard action;Medium (100 ft. + 10 ft./level);Area;Creatures and objects within 10-ft.-radius spread;1 round/level;Will negates (blinding only);Blinds creatures, outlines invisible creatures.
Globe of Invulnerability;Abj;;6;1 standard action;10 ft.;Area;10-ft.-radius spherical emanation, centered on you;1 round/level (D);None;As globe of invulnerability, lesser, plus 4th-level spell effects.
Glowing Orb;Evoc;Light;3;1 standard action;Touch;Effect;Magical, controllable light source;Permanent;None;Creates permanent magical light
Golem Immunity;Tran;;8;1 standard action;Touch;Target;Construct touched;1 min./level;Will negates;Grants a construct the magic immunity special quality of a particular golem.
Golem Strike;Div;;1;1 swift action;Personal;Target;You;1 round;;Swift. You can sneak attack constructs for 1 round.
Grasping Hand;Evoc;Force;7;1 standard action;Medium (100 ft. + 10 ft./level);Effect;10-ft. hand;1 round/level (D);None;Large hand provides cover, pushes, or grapples.
Grasping Wall;Conj;;3;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Hands sprout from a wall in an area of up to four 5-ft. squares (S);1 day;Reflex negates;Wall sprouts hands that entangle enemies, help allies climb.
Graymantle;Necr;;5;1 standard action;Medium (100 ft. + 10 ft./level);Target;One living creature;1 round/level;Fortitude negates;Target is prevented from regaining hit points by any means.
Graz'zt's Long Grasp;Tran;Evil;2;1 standard action;Personal;Target;You;10 min./level;;Your hand flies from you to make grapple artacks.
Grease;Conj;;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Target or Area;One object or a 10-ft. square;1 round/level (D);See text;Makes 10-ft. square or one object slippery.
Great Thunderclap;Evoc;Sonic;3;1 standard action;Medium (100 ft. + 10 ft./level);Area;20-ft.-radius spread;Instantaneous;See text;Loud noise causes stunning, deafness, and knocks prone in a 20-ft.-radius spread.
Grim Revenge;Necr;Evil;4;1 standard action;Medium (100 ft. + 10 ft./level);Target;One living humanoid;Instantaneous;Fortitude negates;Tears hand from target, dealing 6d6 damage, then hand attacks target.
Groundsmoke;Tran;;0;1 standard action;5 ft.;Target;One fire no larger than 5 square feet.;8 hours;None;Prevents smoke from rising from a small fire.
Guards and Wards;Abj;;6;30 minutes;Anywhere within the area to be warded;Area;Up to 200 sq. ft./level (S);2 hours/level (D);See text;Array of magic effects protect area.
Guided Shot;Div;;1;1 swift action;Personal;Target;You;1 round;;Swift. You ignore distance penalties with your ranged attacks for 1 round.
Guiding Light;Evoc;Light;1;1 standard action;Long (400 ft. + 40 ft./level);Targets;Creatures in a 5-ft.-radius burst;1 min./level (D);None;+2 on ranged attacks against creatures in illuminated area.
Guilt;Ench;Mind-Affecting;1;1 standard action;Medium (100 ft. + 10 ft./level);Target;One living creature of non-good alignment;1d4 rounds;Will negates;A non-good creature is forced to think about some evil deed it performed, denying it any actions except to defend itself.
Gust of Wind;Evoc;Air;2;1 standard action;60 ft.;Effect;Line-shaped gust of severe wind emanating out from you to the extreme of the range;1 round;Fortitude negates;Blows away or knocks down smaller creatures.
Gutsnake;Tran;;5;1 standard action;Personal;Effect;You;1 round/level (D);;15-ft tentacle grows from your stomach and attacks your enemies.
Gutwrench;Necr;Death, Evil;8;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature;Instantaneous;Fortitude partial;Kills subject and gives you 4d6 temporary hit points and +4 Strength.
Hail of Stone;Conj;Earth;1;1 round;Medium (100 ft. + 10 ft./level);Area;Cylinder (5-ft. radius, 40 ft. high);Instantaneous;None;Stones deal 1d4 points of damage/level to creatures in the area (max 5d4).
Hailstones;Evoc;Cold;3;1 standard action;Medium (100 ft. + 10 ft./level);Effect;One frigid globe/5 levels;Instantaneous;None;Frigid globes deal 5d6 cold damage.
Hallucinatory Terrain;Illu;;4;10 minutes;Long (400 ft. + 40 ft./level);Area;One 30-ft. cube/level (S);2 hours/level (D);Will disbelief (if interacted with);Makes one type of terrain appear like another (field into forest, or the like).
Halt;Tran;;3;1 immediate action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 round;Will negates;Subject's feet become stuck to the ground.
Hamatula Barbs;Tran;;3;1 standard action;Touch;Target;Creature touched;10 min./level;Fortitude negates (harmless);Subjects grow barbs, which damage foes that attack subject in melee.
Handfang;Tran;;3;1 standard action;Personal;Target;You;1 round/level;;Mouth in your hand deals 1d8 damage and allows a free grapple attempt on critical hit.
Hardening;Tran;;6;1 standard action;Touch;Target;One item of a volume no greater than 10 cu. ft./level (see text);Permanent;None;Permanently make an object's hardness improve.
Haste;Tran;;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;One creature/level, no two of which can be more than 30 ft. apart;1 round/level;Fortitude negates (harmless);One creature/level moves faster, +1 on attack rolls, AC, and Reflex saves.
Haunt Shift;Necr;;5;1 standard action;Medium (100 ft. + 10 ft./level);Targets;Undead creatures within a 40_ft.-radius burst;Instantaneous;Will negates;Turn corporeal and incorporeal undead into haunting presences.
Heart of Stone;Necr;;8;1 hour;Personal;Target;You;1 year;;You gain DR 5/- and resist energy 5 vs cold, fire, and electricity.  Healing slows and requires caster level checks (DC 10 + your caster level)
Heartfreeze;Necr;Cold;6;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;Instantaneous;Fortitude partial;Subject exhausted, dies in 1d3+2 rounds.
Heavenly Host;Conj;Good, Lawful;9;10 minutes;Medium (100 ft. + 10 ft./level);Effect;Two or more summoned creatures, no two of which can be more than 30 ft. apart;10 min./level (D);None;Summons archons to fight for you.
Hell's Power;Conj;Evil;4;1 standard action;Personal;Target;You;10 min./level;;You gain +2 AC and good to existing DR.
Hellish Horde;Conj;Evil, Lawful;9;10 minutes;Medium (100 ft. + 10 ft./level);Effect;Two or more summoned creatures, no two of which can be more than 30 ft. apart;10 min./level (D);None;Summons devils to fight for you.
Heroics;Tran;;2;1 standard action;Touch;Target;Creature touched;10 min./level;None;Fighter gains one fighter bonus feat.
Heroism;Ench;Mind-Affecting;3;1 standard action;Touch;Target;Creature touched;10 min./level;Will negates (harmless);Gives +2 on attack rolls, saves, skill checks.
Hidden Lodge;Conj;;5;10 minutes;Close (25 ft. + 5 ft./2 levels);Effect;20-ft. square structure;1 day;None;Creates a camouflaged Secure Shelter.
Hide from Dragons;Abj;;7;1 standard action;Touch;Targets;One creature touched/two levels;10 min./level (D);Will negates (harmless);Dragons can't perceive one subject/two levels.
Hindsight;Div;;9;1 hour;60 ft.;Area;60 ft. radius, centered on you;Instantaneous;None;Divination that allows you to see the history of a location.
Hiss of Sleep;Ench;Mind-Affecting;7;1 round;Close (25 ft. + 5 ft./2 levels);Targets;One creature/level;1 round/level;Will negates;You induce comatose slumber in targets.
Hold Portal;Abj;;1;1 standard action;Medium (100 ft. + 10 ft./level);Target;One portal, up to 20 sq. ft./level;1 min./level (D);None;Holds door shut.
Horizikaul's Boom;Evoc;Sonic;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;Instantaneous;Will partial;Target takes 1d4/two levels sonic damage plus deafness.
Horrible Taste;Tran;;1;1 standard action;Touch;Target;Creature or object touched;10 min./level;Fortitude negates;Attackers that bite you must make a Fort save or be Nauseated for 1 full round.
Horrid Wilting;Necr;;8;1 standard action;Long (400 ft. + 40 ft./level);Targets;Living creatures, no two of which can be more than 60 ft. apart;Instantaneous;Fortitude half;Deals 1d6/level damage within 30 ft.
Howling Chain;Evoc;Force;6;1 standard action;Medium (100 ft. + 10 ft./level);Effect;One chain of force;1 round/level;See text;Chain of force entangles and attacks opponent.
Hurl;Tran;;2;1 standard action;Touch;Target;Weapon touched;1 min./level;None;Thrown weapon returns to thrower.
Hypnotic Pattern;Illu;;2;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Colorful lights in a 10-ft.-radius spread;Concentration + 2 rounds;Will negates;Fascinates (2d4 + level) HD of creatures.
Hypnotism;Ench;Mind-Affecting;1;1 round;Close (25 ft. + 5 ft./2 levels);Area;Several living creatures, no two of which may be more than 30 ft. apart;2d4 rounds (D);Will negates;Fascinates 2d4 HD of creatures.
Ice Burst;Evoc;Cold;3;1 standard action;Medium (100 ft. + 10 ft./level);Area;30-ft.-radius burst;Instantaneous;Reflex half;Chunks of ice deal 1d4 points of cold damage and 1 point of blunt damage/level (max 10d4 + 10).
Ice Castle;Conj;Cold;7;10 minutes;Medium (100 ft. + 10 ft./level);Effect;Fortress of ice and snow;1 day;None;Creates castle of snow and ice with an array of magical effects.
Ice Claw;Evoc;Cold;7;1 standard action;Medium (100 ft. + 10 ft./level);Effect;10-ft. ice claw;1 round/level (D);None;Claw of ice grapples and deals cold damage.
Ice Claw Prison;Evoc;Cold;7;1 standard action;Medium (100 ft. + 10 ft./level);Effect;10-ft. ice claw;1 round/level (D);None;Ice claw grapples and deals normal and cold damage.
Ice Dagger;Evoc;Cold;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Dagger of Ice;Instantaneous;None;Splash weapon deals target 1d4 cold damage per level, plus area damage.
Ice Darts;Conj;Cold;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One or more ice darts;Instantaneous;None;Icicle missiles deal 2d4 damage, half of which is cold.
Ice Knife;Conj;Cold;2;1 standard action;Long (400 ft. + 40 ft./level);Effect;One icy missile;Instantaneous;Fortitude partial or Reflex half;Ranged attack, 1d8 points of cold damage and 2 cold Dexterity damage.
Ice Rift;Evoc;Cold;6;1 standard action;Long (400 ft. + 40 ft./level);Area;40-ft.-radius spread (S);1 round;See text;Intense quake shakes 40-ft. radius spread of ice.
Ice Shape;Tran;Cold;5;1 standard action;Touch;Area;Ice touched, up to 10 cu. ft. + 1 cu. ft./level;Instantaneous;None;Sculpts ice into any shape.
Ice Shield;Abj;;4;1 standard action;Touch;Target;Creature touched;1 min./level;Will negates (harmless);Subject gains damage reduction 15/—.
Ice Ship;Conj;Creation;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Creates ship of ice;1 hour/level (D);;Creates ice runner or ice galleon.
Ice Storm;Evoc;Cold;4;1 standard action;Long (400 ft. + 40 ft./level);Area;Cylinder (20-ft. radius, 40 ft. high);1 full round;None;Hail deals 5d6 damage in cylinder 40 ft. across.
Icebolt;Evoc;Cold;2;1 standard action;Medium (100 ft. + 10 ft./level);Target;1 creature;Instantaneous;None;Ranged attack against a target with a piercing ice sicle for 2d6 piercing damage +1d6 + 1/level (max +10) cold damage.  If a touch attack would hit, deal only the cold damage.
Icelance;Conj;;3;1 standard action;Medium (100 ft. + 10 ft./level);Effect;One lance of ice;Instantaneous;Fortitude partial;Changes ice into lance, which attacks target for 6d6 damage and stuns for 1d4 rounds.
Identify;Div;;1;1 hour;Touch;Targets;One touched object;Instantaneous;None;Determines properties of magic item.
Illusion Purge;Evoc;;8;1 standard action;5 ft./level;Area;5-ft.-radius/level emanation, centered on you;1 min./level (D);;Dispels illusions within 5 ft./level.
Illusory Feast;Illu;Mind-Affecting;5;1 standard action;Long (400 ft. + 40 ft./level);Area;40-ft.-radius spread;1 round/level;Will negates;Subjects become dazed by illusory food.
Illusory Pit;Illu;;6;1 round;Medium (100 ft. + 10 ft./level);Area;10-ft. cube/level;Concentration + 1 round/level;Will disbelief;Illusiory pit causes creature to believe it is falling helplessly and stuns for 1 round when done.
Illusory Wall;Illu;;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Image 1 ft. by 10 ft. by 10 ft.;Permanent;Will disbelief (if interacted with);Wall, floor, or ceiling looks real, but anything can pass through.
